timestamp,open,high,low,close,volume,turnover
1609459200000,28921.5,29673.5,28654.0,29325.0,19234.412,564049131.9
1609545600000,29325.0,33450.0,28967.5,32230.0,47478.703,1530238597.69
1609632000000,32230.0,34820.0,32016.5,32963.0,46033.177,1517391613.451
1609718400000,32963.0,33616.5,27923.0,32024.0,55935.783,1791287514.792
1609804800000,32024.0,34496.5,29905.5,34019.5,39382.593,1339776122.5635
1609891200000,34019.5,37027.5,33364.5,36775.5,35442.508,1303415952.954
1609977600000,36775.5,40560.5,36301.0,39513.0,42640.062,1684836769.806
1610064000000,39513.0,42100.0,36524.5,40641.5,42481.307,1726504038.4405
1610150400000,40641.5,41475.5,38726.5,40074.5,24237.91,971322124.295
1610236800000,40074.5,41363.5,35333.5,38169.5,38921.917,1485630110.9315
1610323200000,38169.5,38278.0,30427.0,35377.5,102480.125,3625490622.1875
1610409600000,35377.5,36672.0,32620.0,34079.0,41680.581,1420432519.899
1610496000000,34079.0,37854.0,32453.5,37417.5,28523.867,1067291793.4725
1610582400000,37417.5,40076.0,36739.0,39167.5,26054.385,1020485124.4875
1610668800000,39167.5,39763.0,34512.5,36716.5,29517.886,1083793461.319
1610755200000,36716.5,37992.5,35380.0,35995.5,22611.161,813900045.7755
1610841600000,35995.5,36841.5,33847.5,35871.5,25196.683,903842814.2345
1610928000000,35871.5,37489.0,34802.0,36662.0,17624.22,646139153.64
1611014400000,36662.0,37920.0,35857.0,35891.5,14428.404,517857062.166
1611100800000,35891.5,36418.0,33370.0,35474.0,22964.047,814626603.278
1611187200000,35474.0,35576.5,30130.0,30911.5,46278.641,1430542211.2715
1611273600000,30911.5,33777.0,28913.5,32969.5,32191.36,1061333043.52
1611360000000,32969.5,33445.0,31395.0,32099.5,18594.629,596878293.5855
1611446400000,32099.5,33065.0,30939.5,32224.5,18424.263,593712663.0435
1611532800000,32224.5,34820.0,31949.0,32284.5,25401.502,820074791.319
1611619200000,32284.5,32895.0,30841.0,32471.0,29124.146,945690144.766
1611705600000,32471.0,32529.0,29273.0,30375.0,43556.661,1323033577.875
1611792000000,30375.0,33733.0,29846.5,33359.0,33807.181,1127773750.979
1611878400000,33359.0,38632.0,32012.0,34222.0,84262.848,2883643184.256
1611964800000,34222.0,34911.5,32826.5,34307.5,27075.192,928882149.54
